session_name,session_id,session_time,metric,source_file,Time,HoloCapturerDecoder_color,HoloCapturerDecoder_geo,HoloCapturerPreparer,MediaReaderDual
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:45,9.83822860164197,9.15422214406337,8.34408534173422,9.45596543763581
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:50,8.4383314083183,9.6681929359445,10.2096359127152,9.84644614926907
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:55,8.33237048163323,9.71999890747212,10.4471136714349,9.98776798055422
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:00,8.19071452420862,7.79380893915787,7.5113551738191,8.51277859916135
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:05,9.62192474865849,9.40508901446498,9.39763438790289,9.29516750601214
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:10,9.83248590414821,9.62406756018435,9.65214909443055,9.28620817932931
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:15,9.83926478652092,9.29780527753215,9.27739355710066,9.45599181409719
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:20,9.83926478652092,9.29780527753215,9.27739355710066,9.45599181409719
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:25,9.83926478652092,9.29780527753215,9.27739355710066,9.45599181409719
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:30,9.83926478652092,9.29780527753215,9.27739355710066,9.45599181409719
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:35,9.83926478652092,9.29780527753215,9.27739355710066,9.45599181409719
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:40,9.83926478652092,9.29780527753215,9.27739355710066,9.45599181409719
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:45,9.83926478652092,9.29780527753215,9.27739355710066,9.45599181409719
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:50,10.3392158876527,10.3313286619985,9.83363698784882,8.95451331100841
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:18:55,8.4562162491269,8.45836707143768,8.160340514689,9.94138460224669
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:00,10.1315504634919,10.2564332989466,10.4987422745363,10.3369948938199
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:05,8.76150525580797,8.59382202547887,8.16583445605552,8.97063688641847
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:10,17.0417548800648,15.4377257580645,15.2964803292197,17.6526338564636
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:15,15.478532822828,17.7261077057015,17.8012050426858,15.3789270896477
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:20,20.8334232394753,22.7484690403969,20.6633536750931,24.3721788892066
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:25,15.8122477421469,14.6921624659325,14.4928341389336,15.3385268655692
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:30,12.9414689712105,12.8928411507753,13.8725755382795,13.1073606281915
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:35,15.4014668058893,17.6480831044312,17.3568489065089,17.0946165535866
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:40,14.7893617754451,14.1896302182365,13.0052115254304,14.4215741538967
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:45,16.3917655098162,12.6385974112361,15.1716696734834,14.7816565745304
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:50,17.4481884767278,16.1358172620593,13.3798025438473,13.8361696367834
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:19:55,15.9519060666694,17.1914495820464,14.886691344459,14.4664270845511
